E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
37.3602,-0.479711,5.0607,2523.4,786.472,-0.464961,61005.4,942089,20776.9,-57358.4,-32039,2.80918e+06,-19450.9,53146.1,34859.9
29.987,0.739696,6.09418,2504.02,797.461,0.747921,45563.4,942069,44856.9,-7992.6,51338.4,2.80919e+06,-45704.8,10496.8,-47756.6
36.6527,0.497299,3.79038,2351.33,979.732,0.487282,58082.1,941917,-44485.7,-37343.7,32410.6,2.80937e+06,55242,31121.1,-38518.9
68.9868,-0.114659,1.25655,2645.44,706.076,-0.137299,69887.6,942211,21312.5,66558.6,-9687.25,2.8091e+06,-20314,-59563.5,2429.84
32.7048,0.818063,5.45891,2637.01,681.002,0.808825,41424.1,942202,29076.6,-29504.5,56976.2,2.80907e+06,-19386.3,26697.9,-52315.4
31.5047,-0.344923,2.06978,2657.8,656.615,-0.340069,66505.8,942223,-32218.9,58180.4,-24049.9,2.80905e+06,25912.8,-50346.2,21960.9
23.5608,-0.177037,3.55458,2528.08,767.12,-0.174986,67906.8,942094,-62501.5,-26550,-12068.9,2.80916e+06,58152,27979.7,12034
40.0816,0.182341,2.41933,2481.79,827.587,0.187789,67120,942047,-50188.8,44566.6,12832.7,2.80922e+06,50958.2,-43865.6,-11319.2
39.1366,-0.953734,4.19721,2639.06,684.018,-0.94973,22062.3,942204,-9733,-19799.3,-66928,2.80908e+06,11252.7,12096.7,59745.3
65.9498,0.749383,3.07896,2509.35,827.975,0.75824,44800.3,942075,-44674.1,3360.26,52102.1,2.80922e+06,47193.9,-1293.68,-49216.9
69.5925,0.32838,6.07326,2732.71,632.433,0.305439,68284.9,942298,66733.2,-14474.2,21903.6,2.80902e+06,-53345.5,10603.7,-24381.6
36.4957,0.241891,5.03665,2448.94,861.762,0.21984,66220.8,942014,20976.2,-62810.7,14923,2.80925e+06,-21474.4,62678.5,-21244.4
21.8725,-0.947472,3.42798,2615.47,697.564,-0.938249,24270.8,942181,-23711.7,-5179.29,-65822.3,2.80909e+06,12497.9,9057.31,60665.6
35.3908,-0.461143,2.73301,2645.42,674.05,-0.445821,63155.8,942211,-57683.8,25714.5,-31455.1,2.80907e+06,49269.1,-19123.7,31516.4
71.8906,0.513351,6.12733,2455.71,903.318,0.504434,58693.3,942021,58347.9,-6357.94,34289,2.80929e+06,-57660.1,17440.7,-38022.3
30.8798,0.220751,3.69415,2517.03,795.762,0.204321,67368,942082,-56197.5,-37152.2,14061.4,2.80919e+06,57867.8,28230.6,-18016.9
14.9738,-0.302741,5.15445,2553.19,769.999,-0.348993,64955,942119,29928.6,-57649.2,-24189.8,2.80916e+06,-21209.1,61465.8,9881.25
43.5064,-0.125953,3.83979,2313.43,1014.84,-0.111365,65563.8,941879,-50851.8,-41384.8,-7347.21,2.80941e+06,55116.9,50104.7,12360.8
106.62,-0.0885615,3.48343,2442.75,943.447,-0.0651487,67651.3,942008,-63380.5,-23656.1,-4416.78,2.80934e+06,68756.4,21170,11154.2
25.1985,0.060778,5.26424,2487.71,812.517,0.0752039,68223.5,942053,34593.3,-58802.7,5145.25,2.8092e+06,-38828.5,55275.9,-1147.74
37.0899,0.15242,2.77183,2425.57,884.815,0.145234,66840,941991,-61893.2,25235.2,9811.5,2.80928e+06,65921.9,-21833.8,-12172.9
56.4622,0.271589,4.3121,2480.37,851.259,0.247731,66186.7,942046,-26104.4,-60821.4,16924,2.80924e+06,24398,60259,-23572.3
66.5489,0.0318471,2.28607,2347.42,1004,0.0497866,66375.2,941913,-44480.8,49265.8,3308.7,2.8094e+06,46327.8,-59098.4,1171.71
41.5961,-0.211914,1.15182,2554.92,761.011,-0.22942,67487.1,942120,27356.6,61693.8,-15907.2,2.80915e+06,-26568.1,-58864,10206.7
43.6362,-0.869956,2.94021,2321.67,1031.42,-0.896093,29335.9,941887,-28666.5,6231.43,-59224.3,2.80942e+06,45981.5,-8256.97,60098.7
61.9351,-0.153022,4.41479,2493.13,851.559,-0.171172,67481,942059,-17644.1,-65133.5,-11723.9,2.80924e+06,26446,63547.2,6789.96
68.8073,0.794372,4.36688,2403.6,988.025,0.7641,43382.4,941969,-18094.4,-39428.7,51385.2,2.80938e+06,2229.4,38522.1,-63730.5
50.0767,-0.601527,0.100756,2443.75,936.224,-0.538081,57156,942009,56762.1,6698.62,-36486.9,2.80933e+06,-47202,-1909.08,55025.1
23.4768,-0.696114,3.76144,2530.29,764.154,-0.69132,49856.6,942096,-40661.3,-28850.4,-47701.8,2.80916e+06,37264.7,27097.7,46580.4
25.5708,0.927845,1.81621,2335.71,968.975,0.921106,25808.1,941901,-6383.6,25006.2,61061.4,2.80936e+06,5552.03,-23601.6,-69682.2
49.4108,0.481283,2.17755,2497.6,823.028,0.476977,60252.5,942063,-33536.9,50056.4,32698.3,2.80921e+06,36107.3,-46834.5,-33559.6
22.3649,0.0061611,1.33698,2481.62,868.305,-0.0554136,68228.3,942047,12701.8,67035.5,-3786.59,2.80926e+06,-24958.9,-63928.5,-12962.9
55.2899,-0.745672,4.65972,2630.86,743.433,-0.73878,47419.5,942196,2014.7,-47376.7,-51981.2,2.80914e+06,15568,40086.7,48238.5
27.058,0.571535,4.75584,2506.57,800.214,0.595988,55146.7,942072,1607.36,-55123.3,40930.4,2.80919e+06,-4881.65,58122.4,-33063.9
63.5695,-0.977385,1.12319,2352.83,990.102,-0.979069,13541.6,941918,6563.12,11844.9,-65141.6,2.80938e+06,-5406.67,-16704.6,72483.7
30.5536,-0.682508,1.66978,2384.67,925.319,-0.675464,49393.2,941950,-3128.8,49294,-45244.9,2.80932e+06,10283.1,-50504.6,50415.5
43.0592,-0.338363,1.42466,2411.59,918.756,-0.362677,62774.8,941977,7018.45,62381.2,-24430.3,2.80931e+06,-16353.1,-67268.3,19205.6
21.0875,0.637595,4.81559,2525.77,772.354,0.629275,53578.5,942091,3889.48,-53437.1,43381.8,2.80916e+06,-9922.24,48433.2,-43526
53.6334,0.718163,2.23924,2678.3,664.827,0.709318,50042.4,942244,-29742.3,40244.8,50356.8,2.80906e+06,28832.6,-28806.4,-45535.7
57.5259,0.833825,4.8773,2421.41,910.095,0.82809,37839.2,941987,5229.23,-37476.1,55894.6,2.8093e+06,-9115.89,36719.9,-60672.8
28.6663,-0.4721,0.73614,2327.95,978.38,-0.472442,58329.5,941893,42935.4,39482.7,-31266.7,2.80937e+06,-49315.8,-42947.3,34925.5
33.3701,0.724677,3.76308,2347.41,966.191,0.724736,45790.9,941913,-36345.1,-27854,48164.1,2.80936e+06,43818.1,25936.3,-53245.6
31.6403,-0.232347,2.38424,2473.38,830.167,-0.234629,66315.3,942039,-48999.9,44684.8,-16006.3,2.80922e+06,45838.5,-48229.1,15373.6
50.8137,0.565972,0.321245,2564.27,772.399,0.58875,56148.3,942130,53814.4,16020.1,40896.6,2.80916e+06,-52597.6,-23132.2,-32208.5
39.6024,-0.636478,2.92431,2319.46,1000.77,-0.637937,50872.2,941885,-49833.5,10227.3,-42142.2,2.80939e+06,56198.3,-14716.9,47405.5
66.0677,-0.717849,1.39262,2514.47,826.212,-0.701239,49038.4,942080,8456.47,48303.8,-48234.5,2.80922e+06,-8470.57,-43018,52144.4
57.9063,0.621045,4.77594,2472.16,865.206,0.614429,53810.2,942038,5561.44,-53522,41905.8,2.80926e+06,3011.17,53681.9,-44380.3
23.3316,0.402662,0.297056,2314.25,988.761,0.40299,60390.6,941880,57958.7,16965,26591.7,2.80938e+06,-64584.4,-22087.3,-29927.2
8.63979,0.155543,3.53127,2463.99,819.781,0.168615,67114.9,942029,-61512.6,-26844.3,11481,2.80921e+06,63878.9,21514.9,-7860.88
26.9819,0.238555,4.51118,2531.18,781.226,0.255038,66731.1,942097,-10969.3,-65823.3,17601,2.80917e+06,19965.6,61965.2,-12258.5
77.3552,0.796494,5.21464,2561.22,790.784,0.786988,42831.2,942127,21517.6,-37033.8,54634.4,2.80918e+06,-15435.4,34498.5,-54898.9
30.7753,-0.977765,6.11633,2216.49,1115.85,-0.979889,12885.7,941782,12425.5,-3412.9,-63276.8,2.80951e+06,-19103.7,-719.914,76832.6
77.7909,0.157923,0.382821,2392.76,980.416,0.11328,66665.2,941958,62141.5,24138.8,7600.78,2.80937e+06,-65203.6,-28895.3,-20525.5
