E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
72.5322,0.12467,2.24757,14108.9,3585.14,0.143405,161747,953674,-99950.4,127170,23437.7,3.73096e+06,107447,-122985,-8315.24
57.046,-0.403483,4.96198,13473.2,4226.28,-0.414834,145297,953039,33971.9,-141270,-66242.9,3.73161e+06,-48319.8,158258,64367.7
59.0805,0.0587031,1.72236,14010.9,3663.73,0.06578,162511,953576,-21617.2,161067,10713.2,3.73104e+06,36288.9,-161190,-5160.12
84.9564,-0.919183,4.89147,13821.2,3867.32,-0.916567,64680.5,953387,10190.6,-63872.7,-148254,3.73125e+06,-16428.7,61098.7,157613
38.7216,-0.791479,5.56731,14071.8,3577.11,-0.78996,100080,953637,73627.5,-67786,-128937,3.73096e+06,-81533.1,56263.4,129869
34.9522,-0.793484,2.14507,13922.4,3707.1,-0.78984,99568.2,953488,-54676.6,83212.3,-128226,3.73109e+06,51012.4,-83905,134190
62.6471,-0.644544,0.623905,14583.5,3100.78,-0.635519,128308,954149,103827,75384.7,-105613,3.73048e+06,-91444.8,-63289.9,103718
44.6178,0.832986,4.68421,14028.2,3648.24,0.830561,90759.8,953594,-6561.2,-90522.4,135353,3.73103e+06,-13173.2,89171,-138149
41.8402,0.426254,5.33135,13815.1,3833.84,0.435462,145576,953381,85628.8,-117729,70420.2,3.73121e+06,-85652.8,129941,-66136
56.34,-0.12219,2.63591,13973.4,3697.33,-0.140448,161032,953539,-140560,78577.1,-22843,3.73108e+06,146307,-78080.2,8605.42
33.2973,0.516011,5.65575,13325.8,4347.5,0.521071,135541,952891,109511,-79865.7,82747.8,3.73173e+06,-127213,90501.6,-89748.6
24.4053,-0.459673,5.58373,14582.4,3077.78,-0.450895,148326,954148,115058,-93607.5,-74928.5,3.73046e+06,-94257,91810.3,75100.3
19.3558,-0.0901848,0.497669,13934.7,3696.94,-0.0756345,161952,953500,143109,75817.5,-12284.3,3.73108e+06,-141069,-84193.3,24177.5
64.3714,0.419005,1.34582,13773.9,3892.15,0.423544,146272,953339,31692.3,142797,68389.8,3.73127e+06,-38461.9,-151197,-68485.5
86.8398,-0.131178,0.0156538,14392.1,3345.08,-0.108802,164101,953958,164101,-115.034,-17961.2,3.73072e+06,-153481,-12901.5,35001.5
