E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
85.1771,0.704424,5.5983,14517.1,3185.97,0.712004,116422,954083,91072.1,-72525.9,118052,3.73057e+06,-84840.4,76569.7,-103441
43.3641,0.2572,4.95871,14391.2,3310.95,0.284609,158249,953957,37383,-153770,46982.2,3.73069e+06,-42614,149592,-22348.8
54.9308,0.235281,3.43132,14277.1,3413.54,0.259233,158795,953843,-152313,-44907.5,42621.8,3.73079e+06,150917,46939.9,-21900.1
47.3762,-0.428922,4.50832,13928.7,3770.67,-0.401722,148703,953494,-29980.4,-145650,-65232.4,3.73115e+06,29460,139288,88626.7
93.6128,0.144577,0.882877,14178,3521.69,0.159398,161744,953743,102262,125315,26115.6,3.7309e+06,-104211,-123342,-13877.5
106.106,-0.141389,2.14349,13969.4,3742.53,-0.129093,161260,953535,-86308.4,136219,-20993.2,3.73112e+06,93091.9,-135136,31398.9
57.9518,0.768604,4.8881,14656.1,3033.98,0.777447,104782,954221,18111.5,-103205,129522,3.73041e+06,-18812.9,101304,-109592
99.7057,-0.435859,5.30152,14006.1,3697.61,-0.423503,147512,953572,82485.3,-122295,-68961.4,3.73108e+06,-78765.8,122293,80117.9
70.2267,0.0293982,4.14055,14133.9,3556.6,0.0505115,163374,953699,-88579.6,-137276,8262.79,3.73094e+06,87366.8,137174,8744.48
54.5115,0.844493,1.70121,14879.8,2825.6,0.84806,88957.6,954445,-12585.2,88062.9,142369,3.7302e+06,6608.25,-81237.3,-120121
76.0348,-0.282425,0.540201,14001.1,3694.1,-0.263235,157065,953567,135154,80017,-42856.4,3.73107e+06,-131264,-82770.1,58917.3
118.052,0.938552,2.18708,14353.5,3360.57,0.940449,56041.2,953919,-32481.7,45667.9,155041,3.73074e+06,33161,-47559.8,-147316
51.1006,-0.042153,3.21905,14040.2,3663.3,-0.0136182,163020,953606,-162393,-14279.7,-2220.25,3.73104e+06,163263,6111.2,25108.8
69.0757,-0.366905,3.71619,13916.9,3773.75,-0.34742,152202,953482,-127877,-82540,-56390.6,3.73115e+06,126057,82624.1,73685.9
64.2467,0.696049,1.8935,14449.1,3252.23,0.711029,116310,954015,-35554.3,110743,117611,3.73063e+06,43514.8,-112854,-98109.8
68.8117,-0.410433,0.152855,13878.6,3814.89,-0.391319,149162,953444,147284,23592.1,-63427.9,3.73119e+06,-146691,-19069.8,81066.1
125.558,-0.580122,4.62264,14156.5,3568.05,-0.570932,134409,953722,-11427.8,-133922,-93469.7,3.73095e+06,13946.8,127822,100393
52.6692,0.269764,3.74212,14395.1,3299.92,0.293432,157831,953961,-129749,-89865.1,48445.2,3.73068e+06,129327,84675.4,-26752.4
57.0185,0.800347,4.77612,14704.1,3010.7,0.810394,97769.1,954269,3883.3,-97692,135234,3.73039e+06,-15422.7,97558.7,-112683
55.7198,0.749554,0.659468,14614.9,3088.85,0.762094,107715,954180,86180.7,64617.1,126785,3.73047e+06,-82302,-72388.2,-104988
62.0014,-0.262304,5.91467,13619.9,4082.77,-0.241136,155821,953185,145222,-56485.5,-38716.4,3.73146e+06,-153770,57786.8,58891.4
58.6485,0.66482,5.00219,14503.8,3186.01,0.679098,121650,954069,34942,-116524,112544,3.73057e+06,-34470.8,118152,-92805.7
50.6011,-0.124942,3.42909,13752.7,3948.61,-0.0976217,160574,953318,-153784,-46201.6,-15750.8,3.73133e+06,161120,44786,38548.4
61.0796,-0.986955,3.92104,13405.5,4286.43,-0.986823,25772.6,952971,-18746,-17686.6,-157182,3.73167e+06,18495.5,21554.7,176539
128.088,0.390967,3.14116,13881.4,3866.72,0.405271,148195,953447,-148183,1886.33,65696,3.73125e+06,159780,7057.42,-57105.8
65.6841,0.471175,1.16168,14527.2,3167.21,0.486515,144907,954093,58203,132705,80693.5,3.73055e+06,-53707.1,-129871,-62208.7
77.3359,0.548773,2.4796,14296.6,3407.93,0.56536,135710,953862,-108018,82154.4,93017.7,3.73079e+06,106432,-90863.8,-76372.8
80.0537,0.374649,0.115406,14633,3077.43,0.38787,153436,954198,152320,18471.3,64567.8,3.73046e+06,-143063,-13399.7,-48003.2
60.2825,0.801927,1.30451,14626.1,3081.45,0.812375,97050.3,954192,23626.6,94130.5,135202,3.73046e+06,-33634.4,-93931.2,-114134
46.4734,0.612456,2.15117,14780.7,2927.12,0.627075,130329,954346,-72486.6,108312,104917,3.73031e+06,63876,-106166,-80487.2
77.6835,-0.805837,2.21867,13660.1,4037.37,-0.798419,96816.4,953226,-57478.2,77908.1,-128384,3.73142e+06,61835.3,-74015.3,144264
71.8518,0.547648,0.878174,14466.7,3249.4,0.563822,136696,954032,85349.2,106776,93319.1,3.73063e+06,-94681.9,-98792.9,-74225.1
72.1917,0.894045,0.373823,14593.8,3106.79,0.899682,72572.6,954159,67011,27862.5,149566,3.73049e+06,-72375.6,-22225.9,-132052
90.5676,0.980914,1.33066,14574,3125.37,0.980594,32569.1,954139,7794.43,31622.7,162905,3.7305e+06,-6622.49,-27866.2,-149961
87.0975,0.084684,4.77952,14278.9,3421,0.101272,163580,953844,10213.6,-163261,16651.8,3.7308e+06,-13681.8,159121,-2816.17
76.9329,-0.201129,4.68186,14203.8,3495.62,-0.180136,161307,953769,-5408.85,-161216,-29540.4,3.73088e+06,2827.89,154810,45793.6
78.1812,0.381939,4.37564,14229,3464.14,0.399085,150498,953794,-49865.8,-141997,65504.1,3.73084e+06,49919.3,144317,-50169.2
103.431,0.781637,1.98158,14554.9,3163.68,0.783875,103085,954120,-42783.9,93786.8,130139,3.73054e+06,32604.1,-92212.9,-118441
88.458,0.9093,4.85286,14676.9,3030.26,0.908439,69691.5,954242,9330.76,-69064.1,151454,3.73041e+06,-10256.7,60492,-137239
81.7679,-0.378637,2.2479,13955.9,3738.2,-0.362278,151500,953521,-94722.6,118236,-58885.2,3.73112e+06,94727.7,-116249,73445.9
60.8725,-0.380187,6.1594,14017.6,3678.52,-0.356242,152215,953583,151014,-19082.2,-58032.9,3.73106e+06,-145224,16925.4,77842.5
49.5882,0.324842,4.45864,14364.2,3327.1,0.348701,154568,953930,-38461.4,-149707,57507.8,3.73071e+06,39859,148221,-35432.2
85.7444,-0.99687,4.13393,13528.4,4187.38,-0.997768,10684.6,953094,-6442.69,-8523.6,-159658,3.73157e+06,9481.66,19777.3,175364
53.9738,0.803771,2.10364,14727.1,2964.1,0.811152,97671.2,954293,-49478.1,84211.5,135467,3.73034e+06,48740.8,-81416.2,-114460
30.9165,0.818266,4.77265,14933.6,2772.82,0.827568,94411.7,954499,6361.17,-94197.1,139182,3.73015e+06,-2853.84,91225.8,-111122
70.4736,0.357626,5.89068,14465.9,3228.95,0.374216,153482,954031,141650,-59093.5,61935.4,3.73061e+06,-137959,55343.4,-44563.5
53.7311,0.663095,3.082,14706.2,2997.04,0.675634,123035,954272,-122720,8802.31,112754,3.73038e+06,118972,-1308.58,-90527.7
51.0194,0.247558,5.63902,14351.8,3347.11,0.272836,158594,953917,127576,-94214.6,44976.6,3.73073e+06,-121979,97865.2,-22509.9
73.5431,-0.110668,2.16011,14305.3,3413.95,-0.0863211,163965,953871,-89404.4,137445,-14206.6,3.73079e+06,93353.5,-125080,33197.4
38.6317,0.761113,6.04899,14808.1,2888.88,0.772203,106405,954373,103483,-24766.4,129320,3.73027e+06,-100774,23735.5,-104046
92.3316,-0.611604,3.70785,13920.4,3779.63,-0.599825,129888,953486,-109873,-69272.6,-97371.5,3.73116e+06,106051,69663.8,109958
72.3988,-0.542907,4.98127,13648.6,4045.72,-0.530272,136270,953214,35833,-131475,-85229.9,3.73143e+06,-38776,135104,102076
